,year,banks,offices,offices_per_bank
0,2017,4918,84081,17.096583977226516
1,2016,5112,85201,16.66686228482003
2,2015,5340,86881,16.269850187265916
3,2014,5607,87597,15.622792937399678
4,2013,5847,88582,15.149991448606123
5,2012,6072,89648,14.764163372859025
6,2011,6275,89478,14.259442231075697
7,2010,6519,89165,13.677711305414942
8,2009,6829,89959,13.173085371211013
9,2008,7077,90133,12.736046347322311
10,2007,7279,86548,11.890094793240829
11,2006,7397,84079,11.366635122346898
12,2005,7523,81136,10.78505915193407
13,2004,7628,78606,10.304929208180388
14,2003,7767,76039,9.790009012488735
15,2002,7887,74841,9.489159376188665
16,2001,8082,73764,9.126948775055679
17,2000,8315,73231,8.807095610342754
18,1999,8582,72925,8.497436494989513
19,1998,8777,71443,8.139797197220007
20,1997,9144,70112,7.667541557305337
21,1996,9530,67907,7.125603357817418
22,1995,9943,66841,6.722417781353716
23,1994,10453,65568,6.272649000286999
24,1993,10961,63946,5.833956755770459
25,1992,11467,63542,5.541292404290573
26,1991,11927,64304,5.391464743858473
27,1990,12347,63244,5.12221592289625
28,1989,12715,61184,4.811954384585135
29,1988,13137,59975,4.565349775443404
30,1987,13723,59574,4.341179042483422
31,1986,14210,59099,4.158972554539057
32,1985,14417,58207,4.037386418811126
33,1984,14496,57227,3.947778697571744
34,1983,14469,55322,3.8234846914092198
35,1982,14451,54234,3.7529582727838906
36,1981,14414,55200,3.8296101012904122
37,1980,14434,53172,3.6838021338506306
38,1979,14364,51155,3.561333890281259
39,1978,14391,49182,3.417552637064832
40,1977,14411,47519,3.2974116993962945
41,1976,14410,45754,3.175156141568355
42,1975,14384,44589,3.0999026696329253
43,1974,14230,42881,3.0134223471539
44,1973,13976,40649,2.9084859759587864
45,1972,13733,38562,2.8079807762324327
46,1971,13612,36948,2.7143696738172203
47,1970,13511,35350,2.6163866479165123
48,1969,13473,33852,2.5125807169895347
49,1968,13487,32670,2.422332616593757
50,1967,13514,31593,2.337797839277786
51,1966,13538,30567,2.2578667454572314
52,1965,13544,29416,2.171884229178972
53,1964,13493,28192,2.089379678351738
54,1963,13291,26872,2.021819276201941
55,1962,13124,25545,1.9464340140201157
56,1961,13115,24551,1.871978650400305
57,1960,13126,23682,1.8042053938747524
58,1959,13114,22846,1.7421076711910934
59,1958,13124,22079,1.6823377019201462
60,1957,13165,21432,1.6279529054310673
61,1956,13218,20857,1.5779240429717052
62,1955,13237,20202,1.526176626123744
63,1954,13323,19669,1.476319147339188
64,1953,13432,19287,1.4358993448481239
65,1952,13439,18925,1.4082148969417367
66,1951,13455,18612,1.383277591973244
67,1950,13446,18278,1.3593633794437008
68,1949,13436,17966,1.3371539148556117
69,1948,13419,17702,1.319174305089798
70,1947,13403,17499,1.3056032231589942
71,1946,13359,17287,1.2940339845796842
72,1945,13302,17198,1.2928882874755676
73,1944,13268,17143,1.2920560747663552
74,1943,13274,17018,1.2820551453970168
75,1942,13347,16902,1.2663519892110586
76,1941,13430,16947,1.2618763961280715
77,1940,13442,16931,1.2595595893468234
78,1939,13538,16994,1.2552814300487516
79,1938,13661,17073,1.249762096479028
80,1937,13797,17178,1.2450532724505328
81,1936,13973,17234,1.2333786588420526
82,1935,14125,17237,1.2203185840707964
83,1934,14146,14146,1.0
